  4.98647250465932557E-002 -4.98647250465932557E-002   0.0000000    
  1.86018923068193912E-002  1.92523118996625487E-003   0.0000000               0
  1.92523196249622152E-003  1.85701077861452415E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.14909859681364748        0.0000000    
  1.83441167058359215E-002  1.59823409269176206E-003   0.0000000               0
  1.72939785366988254E-003  1.81829999566441719E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.24685065885020532        0.0000000    
  1.79530736455320722E-002  1.04426699606007412E-003   0.0000000               0
  1.43836980929451432E-003  1.75305585074406051E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.34214940653888148        0.0000000    
  1.74339018062773139E-002  2.81303595518830375E-004   0.0000000               0
  1.07132163295748360E-003  1.66167736148377168E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.43404771720184693        0.0000000    
  1.67948278211768297E-002 -6.63801202905300305E-004   0.0000000               0
  6.55301913435120897E-004  1.54497276863035486E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.52163226288156528        0.0000000    
  1.60496743973947663E-002 -1.75358221380723803E-003   0.0000000               0
  2.24749270217784427E-004  1.40463156380422859E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.60403258714842112        0.0000000    
  1.52199682192852865E-002 -2.93936622836841414E-003   0.0000000               0
 -1.80458136474185020E-004  1.24368994225608088E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.68042975561555086        0.0000000    
  1.43358119109454341E-002 -4.16284924108610652E-003   0.0000000               0
 -5.19020005223105505E-004  1.06686183423831352E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.75006449393667485        0.0000000    
  1.34348467536823443E-002 -5.36049192163235572E-003   0.0000000               0
 -7.54382675948958754E-004  8.80612297610070503E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.81224473177744239        0.0000000    
  1.25591110411067842E-002 -6.47051339505296148E-003   0.0000000               0
 -8.62276429777614466E-004  6.92897489585831122E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.86635247601267551        0.0000000    
  1.17503195566137641E-002 -7.44111938209462195E-003   0.0000000               0
 -8.37846227093658929E-004  5.12582709969877821E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.91184993906373191        0.0000000    
  1.10447995084289700E-002 -8.23762562754596847E-003   0.0000000               0
 -6.99919523631042841E-004  3.48650404749259717E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.94828483841723243        0.0000000    
  1.04696598682168154E-002 -8.84589850657593185E-003   0.0000000               0
 -4.90078362376761755E-004  2.09380440028636688E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.97529469048270923        0.0000000    
  1.00414684463305866E-002 -9.27040736913935411E-003   0.0000000               0
 -2.65405808505197820E-004  1.01687671843659656E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002 -0.99260893397276140        0.0000000    
  9.76778374696080087E-003 -9.52703456505607851E-003   0.0000000               0
 -8.58597359158199877E-005  3.07321778635137209E-004   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
